"Code","M0","beta","r","Species","Date","Treatment","Location","Taxa","Pot","Height","Diameter","Comment","d2h","Range","TotMass","leafArea","Time"
"ACAM-11",0.151818719198544,0.998999999999964,0.0736670196467584,"CAM",2014-11-17,"Home","S","ACAM",11,33.2,1.9,"",1.19852,"wide",0.481383633987683,48.2859246983275,17
"ACAM-12",0.153942439514102,0.849605069294249,0.0918453884303283,"CAM",2014-11-17,"Home","S","ACAM",12,40.4,2.4,"",2.32704,"wide",0.832582694983199,78.6424566681429,17
"ACAM-2",0.195220843814529,0.901688871476439,0.0827552460428582,"CAM",2014-11-17,"Home","S","ACAM",2,40.2,2.44,"",2.3933472,"wide",0.852123618832525,80.2836538008237,17
"ACAM-20",0.165417489434075,0.724903924609058,0.123591169690498,"CAM",2014-11-17,"Warmed","S","ACAM",20,43.5,3.29,"",4.7084835,"wide",1.48990672592496,102.932996536796,17
"ACAM-21",0.170659480675428,0.70687639749239,0.136147818675843,"CAM",2014-11-17,"Warmed","S","ACAM",21,53.2,3.37,"",6.0418708,"wide",1.83052547112438,125.724362056688,17
"ACAM-22",0.400929260040618,0.811307789315859,0.103584749280861,"CAM",2014-11-17,"Warmed","S","ACAM",22,57.7,3.68,"",7.8139648,"wide",2.26364255393924,154.532309303543,17
"ACAM-23",0.293848734666694,0.856200269289984,0.101305450799687,"CAM",2014-11-17,"Warmed","S","ACAM",23,45.8,3.31,"",5.0178938,"wide",1.57029811154291,108.324400761092,17
"ACAM-25",0.0619364569226761,0.683789273319952,0.139532305011985,"CAM",2014-11-17,"Warmed","S","ACAM",25,44,2.87,"",3.624236,"wide",1.20034155362121,83.4408828380628,17
"ACAM-26",0.0675991437879244,0.73540229507893,0.135874909165439,"CAM",2014-11-17,"Warmed","S","ACAM",26,44.5,3.02,"",4.058578,"wide",1.3179372440419,91.3714216610566,17
"ACAM-27",0.282584703686427,0.840215980448774,0.0938758256237237,"CAM",2014-11-17,"Warmed","S","ACAM",27,48.3,3.01,"",4.3760283,"wide",1.40249287011675,97.0611848706432,17
"ACAM-28",0.0787645112873931,0.785244918738279,0.109625030670962,"CAM",2014-11-17,"Warmed","S","ACAM",28,36.8,2.4,"",2.11968,"wide",0.77082951184664,54.2652461190838,17
"ACAM-3",0.331517805882098,0.820748498093819,0.090803327132482,"CAM",2014-11-17,"Home","S","ACAM",3,43.1,3.25,"",4.5524375,"wide",1.44901566370565,128.797077211494,17
"ACAM-31",0.12595614878469,0.744657679083828,0.119815128350959,"CAM",2014-11-17,"Warmed","S","ACAM",31,48.5,3.08,"",4.600904,"wide",1.46174184320146,101.042191657607,17
"ACAM-5",0.118409675667413,0.78549611052187,0.100064605423161,"CAM",2014-11-17,"Home","S","ACAM",5,36.2,2.69,"",2.6194682,"wide",0.918071814617697,85.7926387621812,17
"ACAM-6",0.108515611907802,0.71527995326988,0.119928399468851,"CAM",2014-11-17,"Home","S","ACAM",6,47.1,3.15,"",4.6734975,"wide",1.48075963500799,131.306170514278,17
"ACAM-7",0.216832854093795,0.801342278640813,0.0966137063615386,"CAM",2014-11-17,"Home","S","ACAM",7,42.8,3.02,"",3.9035312,"wide",1.27622363307378,115.029381551108,17
"ACAM-8",0.141336591272697,0.813522663834672,0.0957143453380361,"CAM",2014-11-17,"Home","S","ACAM",8,39.1,2.51,"",2.4633391,"wide",0.872648361473963,82.003041306366,17
"ACAM-9",0.147877206826844,0.632822121772559,0.12851463248358,"CAM",2014-11-17,"Home","S","ACAM",9,51.2,3.11,"",4.9521152,"wide",1.55328152691472,137.016521180641,17
"ATER-1",0.071289858097936,0.804745726136572,0.11166274748902,"TER",2014-11-17,"Home","S","ATER",1,19.4,2.1,"",0.85554,"wide",0.850802531960336,135.308592079664,17
"ATER-10",0.267856710262683,0.954943646979454,0.0788692505399909,"TER",2014-11-17,"Home","S","ATER",10,20.4,1.85,"",0.69819,"wide",0.71935933069946,117.000606763215,17
"ATER-20",0.0482719517268424,0.792977421440426,0.133731481436437,"TER",2014-11-17,"Warmed","S","ATER",20,19.7,2.06,"",0.8359892,"wide",0.83471632920262,187.998959540795,17
"ATER-21",0.000100000000000002,0.640766166486326,0.201692975802768,"TER",2014-11-17,"Warmed","S","ATER",21,28.6,2.57,"",1.8890014,"wide",1.63631591136683,315.817899796378,17
"ATER-22",0.0198069966637914,0.674035656532019,0.15865589628498,"TER",2014-11-17,"Warmed","S","ATER",22,22.3,2.49,"",1.3826223,"wide",1.26461819303181,258.937894086004,17
"ATER-24",0.000100000000000004,0.625575223508777,0.148437006865442,"TER",2014-11-17,"Warmed","S","ATER",24,16.5,1.67,"",0.4601685,"wide",0.509853156859205,128.57754659708,17
"ATER-25",0.000100000000000001,0.690454182482044,0.166921985627794,"TER",2014-11-17,"Warmed","S","ATER",25,18.3,1.68,"",0.5164992,"wide",0.560863098717488,138.38177457156,17
