Date,Treatment,Location,Species,Taxa,Pot,Code,Height,Diameter,Comment,ToFit
7/11/2014,Home,S,CAM,ACAM,1,ACAM-1,32.7,1.69,,1
17/11/2014,Home,S,CAM,ACAM,1,ACAM-1,35.7,2.25,,1
26/11/2014,Home,S,CAM,ACAM,1,ACAM-1,42,3,,1
1/12/2014,Home,S,CAM,ACAM,1,ACAM-1,49.5,3.5,,1
7/11/2014,Home,S,CAM,ACAM,10,ACAM-10,39.1,2.72,,1
17/11/2014,Home,S,CAM,ACAM,10,ACAM-10,43.1,3.11,,1
26/11/2014,Home,S,CAM,ACAM,10,ACAM-10,57.2,3.62,,1
1/12/2014,Home,S,CAM,ACAM,10,ACAM-10,65.7,4.39,,1
8/12/2014,Home,S,CAM,ACAM,10,ACAM-10,79,5.08,,1
15/12/2014,Home,S,CAM,ACAM,10,ACAM-10,93.7,6.24,,1
7/11/2014,Home,S,CAM,ACAM,11,ACAM-11,30.6,1.56,,1
17/11/2014,Home,S,CAM,ACAM,11,ACAM-11,33.2,1.9,,1
26/11/2014,Home,S,CAM,ACAM,11,ACAM-11,40.1,2.45,,1
1/12/2014,Home,S,CAM,ACAM,11,ACAM-11,44.9,3.45,,1
8/12/2014,Home,S,CAM,ACAM,11,ACAM-11,53.6,4.14,,1
15/12/2014,Home,S,CAM,ACAM,11,ACAM-11,65.4,4.96,,1
22/12/2014,Home,S,CAM,ACAM,11,ACAM-11,82.6,6.56,,1
29/12/2014,Home,S,CAM,ACAM,11,ACAM-11,94.2,7.3,,1
5/01/2015,Home,S,CAM,ACAM,11,ACAM-11,107,10.16,,1
7/11/2014,Home,S,CAM,ACAM,12,ACAM-12,34.3,1.98,,1
17/11/2014,Home,S,CAM,ACAM,12,ACAM-12,40.4,2.4,,1
26/11/2014,Home,S,CAM,ACAM,12,ACAM-12,50.5,3.54,,1
1/12/2014,Home,S,CAM,ACAM,12,ACAM-12,59.9,4.45,,1
8/12/2014,Home,S,CAM,ACAM,12,ACAM-12,73.5,5.44,,1
15/12/2014,Home,S,CAM,ACAM,12,ACAM-12,90.6,5.94,,1
22/12/2014,Home,S,CAM,ACAM,12,ACAM-12,108.7,8.13,,1
29/12/2014,Home,S,CAM,ACAM,12,ACAM-12,123.5,9.91,,1
5/01/2015,Home,S,CAM,ACAM,12,ACAM-12,139,11,,1
7/11/2014,Home,S,CAM,ACAM,2,ACAM-2,36.3,1.86,,1
17/11/2014,Home,S,CAM,ACAM,2,ACAM-2,40.2,2.44,,1
26/11/2014,Home,S,CAM,ACAM,2,ACAM-2,46.8,3.64,,1
1/12/2014,Home,S,CAM,ACAM,2,ACAM-2,53.1,4.05,,1
8/12/2014,Home,S,CAM,ACAM,2,ACAM-2,64,5.54,,1
15/12/2014,Home,S,CAM,ACAM,2,ACAM-2,74.4,6.24,,1
22/12/2014,Home,S,CAM,ACAM,2,ACAM-2,90.3,8.49,,1
29/12/2014,Home,S,CAM,ACAM,2,ACAM-2,104,9.8,,1
5/01/2015,Home,S,CAM,ACAM,2,ACAM-2,125.5,11.38,,1
7/11/2014,Warmed,S,CAM,ACAM,20,ACAM-20,34.7,2.03,,1
17/11/2014,Warmed,S,CAM,ACAM,20,ACAM-20,43.5,3.29,,1
26/11/2014,Warmed,S,CAM,ACAM,20,ACAM-20,66.3,5.85,,0
1/12/2014,Warmed,S,CAM,ACAM,20,ACAM-20,84.7,5.6,,1
8/12/2014,Warmed,S,CAM,ACAM,20,ACAM-20,96.3,7.29,,1
15/12/2014,Warmed,S,CAM,ACAM,20,ACAM-20,111,8.47,,1
22/12/2014,Warmed,S,CAM,ACAM,20,ACAM-20,136.5,10.42,,1
29/12/2014,Warmed,S,CAM,ACAM,20,ACAM-20,158.6,10.2,,0
5/01/2015,Warmed,S,CAM,ACAM,20,ACAM-20,175,13.58,,1
7/11/2014,Warmed,S,CAM,ACAM,21,ACAM-21,40.2,2.3,,1
17/11/2014,Warmed,S,CAM,ACAM,21,ACAM-21,53.2,3.37,,1
26/11/2014,Warmed,S,CAM,ACAM,21,ACAM-21,74.7,5.69,,1
1/12/2014,Warmed,S,CAM,ACAM,21,ACAM-21,85.5,6.49,,1
8/12/2014,Warmed,S,CAM,ACAM,21,ACAM-21,101,8.47,,1
15/12/2014,Warmed,S,CAM,ACAM,21,ACAM-21,114.9,9.14,,1
22/12/2014,Warmed,S,CAM,ACAM,21,ACAM-21,131.2,11.39,,1
29/12/2014,Warmed,S,CAM,ACAM,21,ACAM-21,143.7,13.27,,1
5/01/2015,Warmed,S,CAM,ACAM,21,ACAM-21,156,15.42,,1
7/11/2014,Warmed,S,CAM,ACAM,22,ACAM-22,41,2.45,,1
17/11/2014,Warmed,S,CAM,ACAM,22,ACAM-22,57.7,3.68,,1
26/11/2014,Warmed,S,CAM,ACAM,22,ACAM-22,75.9,5.1,,1
1/12/2014,Warmed,S,CAM,ACAM,22,ACAM-22,86,5.95,,1
8/12/2014,Warmed,S,CAM,ACAM,22,ACAM-22,112.1,7.54,,1
15/12/2014,Warmed,S,CAM,ACAM,22,ACAM-22,126.5,8.81,,1
22/12/2014,Warmed,S,CAM,ACAM,22,ACAM-22,137.1,9.85,,1
29/12/2014,Warmed,S,CAM,ACAM,22,ACAM-22,148.3,13.33,,1
5/01/2015,Warmed,S,CAM,ACAM,22,ACAM-22,172,14.71,,1
7/11/2014,Warmed,S,CAM,ACAM,23,ACAM-23,35.5,2.17,,1
17/11/2014,Warmed,S,CAM,ACAM,23,ACAM-23,45.8,3.31,,1
26/11/2014,Warmed,S,CAM,ACAM,23,ACAM-23,66.9,4.55,,1
1/12/2014,Warmed,S,CAM,ACAM,23,ACAM-23,84.2,5.68,,1
8/12/2014,Warmed,S,CAM,ACAM,23,ACAM-23,98.5,7.5,,1
15/12/2014,Warmed,S,CAM,ACAM,23,ACAM-23,116.5,8.71,,1
22/12/2014,Warmed,S,CAM,ACAM,23,ACAM-23,139.6,10.19,,1
29/12/2014,Warmed,S,CAM,ACAM,23,ACAM-23,154.5,12.07,,1
5/01/2015,Warmed,S,CAM,ACAM,23,ACAM-23,169,16.04,,1
7/11/2014,Warmed,S,CAM,ACAM,24,ACAM-24,41.7,2.29,,1
17/11/2014,Warmed,S,CAM,ACAM,24,ACAM-24,53.7,3.41,,1
26/11/2014,Warmed,S,CAM,ACAM,24,ACAM-24,73.2,5.74,,1
1/12/2014,Warmed,S,CAM,ACAM,24,ACAM-24,86.2,6.07,,1
7/11/2014,Warmed,S,CAM,ACAM,25,ACAM-25,37.5,2.21,,1
17/11/2014,Warmed,S,CAM,ACAM,25,ACAM-25,44,2.87,,1
26/11/2014,Warmed,S,CAM,ACAM,25,ACAM-25,64,6.66,,0
1/12/2014,Warmed,S,CAM,ACAM,25,ACAM-25,70.6,5.24,,1
8/12/2014,Warmed,S,CAM,ACAM,25,ACAM-25,85.5,7.13,,1
15/12/2014,Warmed,S,CAM,ACAM,25,ACAM-25,99.4,9.44,,1
22/12/2014,Warmed,S,CAM,ACAM,25,ACAM-25,120.5,11.44,,1
29/12/2014,Warmed,S,CAM,ACAM,25,ACAM-25,137,11.88,,1
5/01/2015,Warmed,S,CAM,ACAM,25,ACAM-25,154,13.49,,1
7/11/2014,Warmed,S,CAM,ACAM,26,ACAM-26,38.5,2.22,,1
17/11/2014,Warmed,S,CAM,ACAM,26,ACAM-26,44.5,3.02,,1
26/11/2014,Warmed,S,CAM,ACAM,26,ACAM-26,59.1,4.86,,1
1/12/2014,Warmed,S,CAM,ACAM,26,ACAM-26,74.7,5.31,,1
8/12/2014,Warmed,S,CAM,ACAM,26,ACAM-26,95,7.3,,1
15/12/2014,Warmed,S,CAM,ACAM,26,ACAM-26,108.7,9.05,,1
22/12/2014,Warmed,S,CAM,ACAM,26,ACAM-26,130.8,11.22,,1
29/12/2014,Warmed,S,CAM,ACAM,26,ACAM-26,141.7,12.92,,1
5/01/2015,Warmed,S,CAM,ACAM,26,ACAM-26,157.5,14.81,,1
7/11/2014,Warmed,S,CAM,ACAM,27,ACAM-27,39,2.19,,1
17/11/2014,Warmed,S,CAM,ACAM,27,ACAM-27,48.3,3.01,,1
26/11/2014,Warmed,S,CAM,ACAM,27,ACAM-27,67.6,4.37,,1
1/12/2014,Warmed,S,CAM,ACAM,27,ACAM-27,76.2,4.77,,1
8/12/2014,Warmed,S,CAM,ACAM,27,ACAM-27,91.3,6.37,,1
15/12/2014,Warmed,S,CAM,ACAM,27,ACAM-27,106.9,7.43,,1
22/12/2014,Warmed,S,CAM,ACAM,27,ACAM-27,127.6,8.98,,1
29/12/2014,Warmed,S,CAM,ACAM,27,ACAM-27,145.4,10.6,,1
5/01/2015,Warmed,S,CAM,ACAM,27,ACAM-27,170,12.29,,1
7/11/2014,Warmed,S,CAM,ACAM,28,ACAM-28,39.2,1.86,,0
17/11/2014,Warmed,S,CAM,ACAM,28,ACAM-28,36.8,2.4,,1
26/11/2014,Warmed,S,CAM,ACAM,28,ACAM-28,48,4.07,,1
1/12/2014,Warmed,S,CAM,ACAM,28,ACAM-28,58.3,4.36,,1
8/12/2014,Warmed,S,CAM,ACAM,28,ACAM-28,73.4,6.21,,1
15/12/2014,Warmed,S,CAM,ACAM,28,ACAM-28,89.4,7.04,,1
22/12/2014,Warmed,S,CAM,ACAM,28,ACAM-28,113.6,8.71,,1
29/12/2014,Warmed,S,CAM,ACAM,28,ACAM-28,129.6,10.39,,1
5/01/2015,Warmed,S,CAM,ACAM,28,ACAM-28,150.5,11.52,,1
7/11/2014,Warmed,S,CAM,ACAM,29,ACAM-29,39.3,1.95,,1
17/11/2014,Warmed,S,CAM,ACAM,29,ACAM-29,44,2.33,,1
20/11/2014,Warmed,S,ACAM,ACAM,29,ACAM-29,47.3,2.82,,1
7/11/2014,Home,S,CAM,ACAM,3,ACAM-3,36.8,2.45,,1
17/11/2014,Home,S,CAM,ACAM,3,ACAM-3,43.1,3.25,,1
26/11/2014,Home,S,CAM,ACAM,3,ACAM-3,59.2,4.18,,1
